Time sec,Strain 1 %,,Time res,,Resistencia
189.474,-1.090693,,57688.13,398.22,0.028251
190.474,-1.062275,,57689.33,399.42,0.028247
191.474,-1.033782,,57690.53,400.62,0.028177
192.474,-1.006081,,57692.94,403.03,0.028323
193.474,-0.9793481,,57695.34,405.43,0.028369
194.474,-0.9530085,,57696.55,406.64,0.028125
195.474,-0.9278212,,57698.95,409.04,0.028377
196.474,-0.904645,,57700.16,410.25,0.028568
197.474,-0.8794829,,57702.56,412.65,0.028653
198.474,-0.8555963,,57703.77,413.86,0.028596
199.474,-0.8321857,,57706.17,416.26,0.028807
200.474,-0.8091635,,57707.38,417.47,0.028785
201.474,-0.7862528,,57708.58,418.67,0.029057
202.474,-0.7646314,,57710.98,421.07,0.028962
203.474,-0.7452922,,57712.19,422.28,0.028981
204.474,-0.725692,,57713.39,423.48,0.029199
205.474,-0.7081719,,57714.59,424.68,0.029346
206.474,-0.6915729,,57715.8,425.89,0.029332
207.474,-0.6739982,,57717,427.09,0.029372
208.474,-0.6585518,,57718.2,428.29,0.029478
209.474,-0.644065,,57720.61,430.7,0.029682
210.474,-0.6289468,,57723.02,433.11,0.029632
211.474,-0.6151931,,57724.22,434.31,0.030034
212.474,-0.6029756,,57725.42,435.51,0.030108
213.474,-0.5905066,,57726.63,436.72,0.030483
214.474,-0.5801029,,57729.03,439.12,0.030592
215.474,-0.5698457,,57730.23,440.32,0.030761
216.474,-0.5613159,,57732.64,442.73,0.031163
217.474,-0.5559371,,57735.05,445.14,0.031758
218.474,-0.5538791,,57737.45,447.54,0.032234
219.474,-0.5543458,,57739.86,449.95,0.032418
220.474,-0.5527779,,57742.27,452.36,0.032683
221.474,-0.552591,,57744.67,454.76,0.032961
222.474,-0.5518748,,57747.08,457.17,0.032825
223.244,-0.552801,,57749.48,459.57,0.032498
223.246,-0.5527494,,57750.69,460.78,0.032378
224.246,-0.5525913,,57753.09,463.18,0.032582
225.246,-0.5523754,,57754.3,464.39,0.032406
226.246,-0.5521368,,57756.7,466.79,0.032439
227.246,-0.5519071,,57757.91,468,0.032638
228.246,-0.553951,,57760.31,470.4,0.032501
229.246,-0.5592707,,57761.52,471.61,0.032525
230.246,-0.5667659,,57762.72,472.81,0.032492
231.246,-0.576547,,57765.13,475.22,0.032613
232.246,-0.5867541,,57766.33,476.42,0.032483
233.246,-0.5987494,,57767.53,477.62,0.03244
234.246,-0.6123054,,57769.94,480.03,0.032386
235.246,-0.6260731,,57772.34,482.43,0.032487
236.246,-0.6406489,,57773.55,483.64,0.03249
237.246,-0.6552967,,57775.95,486.04,0.032334
238.246,-0.6711745,,57777.16,487.25,0.032214
239.246,-0.6857538,,57778.36,488.45,0.031913
240.246,-0.7005087,,57780.77,490.86,0.031263
241.246,-0.71586,,57781.97,492.06,0.031244
242.246,-0.7331699,,57783.17,493.26,0.031119
243.246,-0.7495194,,57784.38,494.47,0.030966
244.246,-0.7685999,,57786.78,496.87,0.030739
245.246,-0.7861954,,57789.19,499.28,0.030676
246.246,-0.8069802,,57790.39,500.48,0.030328
247.246,-0.8268099,,57791.59,501.68,0.030185
248.246,-0.8470009,,57794,504.09,0.029942
249.246,-0.8687408,,57795.2,505.29,0.02987
250.246,-0.8894978,,57797.61,507.7,0.029675
251.246,-0.9119347,,57800.02,510.11,0.029541
252.246,-0.9332583,,57802.42,512.51,0.029707
253.246,-0.9566831,,57803.63,513.72,0.029712
254.246,-0.9797911,,57804.83,514.92,0.029576
255.246,-1.004861,,57807.23,517.32,0.029382
256.246,-1.030905,,57809.64,519.73,0.029287
257.246,-1.058519,,57810.84,520.93,0.029095
258.246,-1.087876,,57813.25,523.34,0.029206
259.246,-1.115772,,57815.66,525.75,0.029197
260.246,-1.144106,,57816.86,526.95,0.029104
261.246,-1.171871,,57819.27,529.36,0.029012
262.246,-1.200356,,57820.47,530.56,0.029113
263.246,-1.2311,,57821.67,531.76,0.029205
264.246,-1.261184,,57822.88,532.97,0.02915
265.246,-1.292341,,57824.08,534.17,0.02902
266.246,-1.322963,,57826.48,536.57,0.029068
267.246,-1.354217,,57828.89,538.98,0.029052
268.246,-1.387595,,57830.09,540.18,0.029139
