Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   4.04 0.003695  90.12   53.0
   4.05 0.003715  90.59   50.0
   4.06 0.003731  90.99   47.1
   4.07 0.003748  91.40   44.5
   4.08 0.003764  91.80   42.0
   4.09 0.003778  92.14   39.7
   4.10 0.003792  92.48   37.5
   4.12 0.003805  92.79   35.4
   4.13 0.003817  93.09   33.3
   4.14 0.003829  93.38   31.4
   4.15 0.003840  93.64   29.7
   4.16 0.003850  93.89   27.9
   4.17 0.003859  94.12   26.3
   4.18 0.003868  94.33   24.8
   4.20 0.003877  94.55   23.3
   4.21 0.003885  94.74   21.9
   4.22 0.003893  94.94   20.7
   4.23 0.003901  95.12   19.5
   4.24 0.003908  95.30   18.5
   4.25 0.003915  95.47   17.5
   4.26 0.003921  95.63   16.6
   4.27 0.003926  95.75   15.8
   4.29 0.003932  95.89   15.0
   4.30 0.003938  96.04   14.3
   4.31 0.003942  96.15   13.5
   4.32 0.003947  96.26   12.8
   4.33 0.003952  96.38   12.1
   4.34 0.003956  96.49   11.4
   4.35 0.003961  96.59   10.8
   4.36 0.003964  96.68   10.2
   4.37 0.003967  96.75    9.6
   4.39 0.003969  96.79    8.9
   4.40 0.003971  96.84    8.3
   4.41 0.003974  96.93    7.6
   4.42 0.003976  96.97    7.0
   4.43 0.003979  97.03    6.4
   4.44 0.003981  97.10    5.9
   4.45 0.003985  97.18    5.5
   4.46 0.003987  97.23    5.3
   4.48 0.003990  97.30    5.1
   4.49 0.003991  97.34    5.0
   4.50 0.003995  97.43    5.1
   4.51 0.003998  97.50    5.3
   4.52 0.003999  97.53    5.2
   4.53 0.004003  97.62    5.2
   4.54 0.004005  97.67    5.3
   4.55 0.004007  97.73    5.2
   4.57 0.004011  97.81    5.2
   4.58 0.004014  97.88    5.2
   4.59 0.004016  97.94    5.3
   4.60 0.004019  98.01    5.3
   4.61 0.004021  98.06    5.3
   4.62 0.004023  98.12    5.2
   4.63 0.004025  98.15    5.2
   4.64 0.004026  98.19    5.0
   4.66 0.004028  98.23    4.7
   4.67 0.004030  98.29    4.6
   4.68 0.004032  98.32    4.3
   4.69 0.004034  98.37    4.0
   4.70 0.004036  98.42    3.9
   4.71 0.004039  98.50    3.9
   4.72 0.004040  98.54    3.8
   4.73 0.004042  98.58    3.9
   4.75 0.004044  98.62    3.9
   4.76 0.004046  98.67    4.0
   4.77 0.004046  98.68    3.9
   4.78 0.004047  98.69    3.7
   4.79 0.004046  98.67    3.2
   4.80 0.004047  98.69    2.9
   4.81 0.004047  98.70    2.4
   4.82 0.004049  98.74    2.0
   4.84 0.004050  98.78    1.8
   4.85 0.004052  98.82    1.7
   4.86 0.004054  98.87    1.7
   4.87 0.004055  98.90    1.9
   4.88 0.004057  98.94    2.1
   4.89 0.004058  98.98    2.4
   4.90 0.004061  99.03    2.8
   4.91 0.004062  99.06    3.1
   4.92 0.004063  99.10    3.2
   4.94 0.004065  99.13    3.2
   4.95 0.004065  99.14    3.1
   4.96 0.004066  99.17    3.0
   4.97 0.004067  99.19    2.8
   4.98 0.004068  99.20    2.6
   4.99 0.004069  99.22    2.4
   5.00 0.004070  99.26    2.2
   5.02 0.004071  99.28    2.1
