Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   4.23 0.000027   0.65  208.2
   4.24 0.000166   4.05  218.1
   4.25 0.000353   8.61  232.7
   4.26 0.000454  11.08  242.3
   4.27 0.000551  13.45  245.5
   4.28 0.000652  15.91  249.0
   4.29 0.000741  18.07  254.1
   4.37 0.001308  31.90  285.2
   4.38 0.001403  34.20  306.6
   4.39 0.001369  33.38  309.3
   4.40 0.001444  35.20  304.9
   4.41 0.001537  37.48  295.9
   4.42 0.001617  39.42  282.7
   4.43 0.001659  40.46  263.3
   4.45 0.001732  42.23  245.6
   4.46 0.001803  43.97  223.3
   4.47 0.001870  45.59  196.0
   4.48 0.001938  47.25  164.7
   4.49 0.002004  48.88  128.7
   4.50 0.002070  50.47  131.5
   4.51 0.002138  52.14  137.6
   4.52 0.002204  53.76  135.4
   4.54 0.002731  66.60  168.8
   4.55 0.003065  74.73  218.3
   4.56 0.003120  76.09  258.0
   4.57 0.003172  77.36  284.6
   4.58 0.003223  78.60  300.5
   4.59 0.003272  79.79  305.8
   4.60 0.003319  80.95  300.2
   4.61 0.003371  82.21  284.6
   4.62 0.003420  83.41  258.7
   4.64 0.003466  84.53  222.5
   4.65 0.003510  85.60  176.3
   4.66 0.003552  86.63  120.3
   4.67 0.003594  87.66   96.4
   4.68 0.003638  88.72   94.3
   4.69 0.003681  89.78   92.4
   4.70 0.003724  90.81   90.7
   4.71 0.003764  91.80   89.1
   4.73 0.003800  92.67   87.0
   4.74 0.003838  93.61   84.9
   4.75 0.003878  94.58   83.3
   4.76 0.003917  95.53   82.0
   4.77 0.003956  96.49   81.0
   4.78 0.003992  97.36   79.8
   4.79 0.004028  98.24   78.6
   4.80 0.004062  99.07   77.1
   4.82 0.004096  99.89   75.6
   4.83 0.004128 100.68   74.2
   4.84 0.004161 101.47   72.8
   4.85 0.004193 102.25   71.5
   4.86 0.004224 103.02   69.8
   4.87 0.004256 103.79   68.2
   4.88 0.004285 104.50   66.5
   4.89 0.004313 105.19   64.9
   4.91 0.004342 105.89   63.6
   4.92 0.004368 106.54   62.1
   4.93 0.004394 107.16   60.6
   4.94 0.004421 107.82   59.2
   4.95 0.004449 108.50   58.0
   4.96 0.004474 109.10   56.6
   4.97 0.004497 109.67   55.2
   4.98 0.004523 110.30   53.9
   5.00 0.004523 110.31   51.0
   5.01 0.004550 110.96   48.8
   5.02 0.004575 111.58   47.1
   5.03 0.004600 112.18   45.7
   5.04 0.004622 112.71   44.7
   5.05 0.004643 113.23   43.8
   5.06 0.004664 113.75   43.0
   5.07 0.004684 114.23   42.5
   5.09 0.004704 114.73   42.3
   5.10 0.004721 115.15   42.2
   5.11 0.004742 115.64   42.2
   5.12 0.004763 116.16   42.8
   5.13 0.004781 116.61   41.5
   5.14 0.004800 117.06   40.5
   5.15 0.004819 117.52   39.7
   5.16 0.004836 117.95   39.0
   5.17 0.004854 118.38   38.4
   5.19 0.004872 118.81   37.9
   5.20 0.004888 119.22   37.4
   5.21 0.004905 119.63   36.8
   5.22 0.004921 120.03   36.2
   5.23 0.004938 120.44   35.5
   5.24 0.004954 120.81   34.7
   5.25 0.004969 121.18   34.1
   5.26 0.004985 121.57   33.5
   5.28 0.005000 121.94   32.9
   5.29 0.005014 122.29   32.3
   5.30 0.005028 122.62   31.7
   5.31 0.005041 122.94   31.0
   5.32 0.004975 121.32   24.1
   5.33 0.004988 121.66   18.4
   5.34 0.005003 122.01   14.0
   5.35 0.005017 122.36   10.7
   5.37 0.005030 122.69    8.7
   5.38 0.005044 123.02    7.8
   5.39 0.005058 123.37    8.2
   5.40 0.005072 123.69    9.7
   5.41 0.005085 124.01   12.5
   5.42 0.005096 124.28   16.1
   5.43 0.005107 124.55   20.8
   5.44 0.005116 124.78   26.3
   5.45 0.005128 125.06   25.5
   5.47 0.005139 125.34   24.7
   5.48 0.005150 125.61   24.0
   5.49 0.005161 125.86   23.4
   5.50 0.005171 126.12   22.7
   5.51 0.005182 126.39   22.2
   5.52 0.005192 126.62   21.8
   5.53 0.005201 126.85   21.4
   5.54 0.005207 127.00   20.9
   5.56 0.005216 127.22   20.4
   5.57 0.005225 127.43   19.8
   5.58 0.005234 127.66   19.2
   5.59 0.005243 127.87   18.6
   5.60 0.005251 128.06   18.0
   5.61 0.005259 128.27   17.6
   5.62 0.005268 128.47   17.2
   5.63 0.005275 128.65   16.9
   5.65 0.005284 128.87   16.8
   5.66 0.005291 129.05   16.7
   5.67 0.005300 129.25   16.7
   5.68 0.005307 129.44   16.5
   5.69 0.005314 129.61   16.3
   5.70 0.005319 129.72   15.7
   5.71 0.005325 129.87   15.3
   5.72 0.005333 130.07   14.9
   5.74 0.005341 130.27   14.6
   5.75 0.005346 130.38   14.2
   5.76 0.005342 130.29   13.1
   5.77 0.005341 130.26   11.5
   5.78 0.005341 130.27    9.8
   5.79 0.005349 130.46    8.6
   5.80 0.005364 130.84    8.5
   5.81 0.005371 131.00    8.7
   5.82 0.005381 131.24    9.4
   5.84 0.005388 131.41   10.1
   5.85 0.005390 131.47   10.6
   5.86 0.005394 131.55   11.2
   5.87 0.005400 131.69   12.2
   5.88 0.005405 131.82   13.1
   5.89 0.005412 132.00   13.4
   5.90 0.005418 132.15   13.2
   5.91 0.005423 132.27   12.2
   5.93 0.005428 132.39   11.2
   5.94 0.005433 132.51   10.9
   5.95 0.005438 132.62   10.5
   5.96 0.005443 132.75   10.6
   5.97 0.005447 132.86   10.7
   5.98 0.005451 132.95   10.5
   5.99 0.005455 133.04   10.1
   6.01 0.005458 133.13    9.6
   6.02 0.005463 133.24    9.1
   6.03 0.005468 133.37    8.9
   6.04 0.005471 133.43    8.7
   6.05 0.005474 133.51    8.4
   6.06 0.005471 133.43    7.6
   6.07 0.005476 133.57    7.1
   6.08 0.005480 133.65    6.6
   6.09 0.005483 133.74    6.3
   6.11 0.005488 133.84    6.2
   6.12 0.005492 133.94    6.2
   6.13 0.005495 134.02    6.2
   6.14 0.005498 134.08    6.1
   6.15 0.005500 134.14    6.1
   6.16 0.005502 134.18    6.2
   6.17 0.005506 134.28    6.4
