Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   5.20 0.014144 345.15 3210.0
   5.21 0.014153 345.38 2736.4
   5.22 0.014101 344.12 2048.5
   5.23 0.014097 344.00 1150.3
   5.24 0.014059 343.09  563.1
   5.25 0.014123 344.65  279.6
   5.26 0.014054 342.96  133.2
   5.27 0.014148 345.27   63.1
   5.29 0.014133 344.90   27.4
   5.30 0.014140 345.07    8.9
   5.31 0.014154 345.40    4.1
   5.32 0.014136 344.97    4.1
   5.33 0.009285 226.52 -366.1
   5.34 0.004072  99.30 %-1068.7
   5.35 0.001643  40.05 %-1821.8
   5.36 0.000242   5.89 %-2508.6
   5.38 -.000309  -7.53 %-3047.3
   5.39 -.000685 -16.70 %-3408.0
   5.40 -.000783 -19.09 %-3575.4
   5.41 -.000875 -21.33 %-3533.6
   5.42 -.000819 -19.96 %-3278.6
   5.43 -.000867 -21.15 %-2817.5
   5.44 -.000812 -19.79 %-2141.0
   5.45 -.000828 -20.18 %-1257.8
   5.47 -.000952 -23.20 -616.3
   5.48 -.001191 -29.03 -324.2
   5.49 -.001454 -35.45 -199.5
   5.50 -.001414 -34.47 -155.8
   5.51 -.001480 -36.08 -144.0
   5.52 -.001457 -35.52 -148.3
   5.53 -.001262 -30.76 -135.7
   5.54 -.001290 -31.46 -127.0
   5.56 -.001202 -29.30 -100.5
   5.57 0.005847 142.61  469.1
   5.58 0.009875 240.92 1259.9
   5.59 0.012028 293.49 2065.5
   5.60 0.015197 370.89 2924.1
   5.61 0.014512 354.16 3482.2
   5.62 0.013125 320.27 3689.8
   5.63 0.012375 301.95 3639.3
   5.65 0.011967 291.98 3358.5
   5.66 0.011827 288.56 2880.8
   5.67 0.011718 285.91 2226.7
   5.68 0.011687 285.15 1385.9
   5.69 0.011640 284.00  368.1
   5.70 0.011586 282.69 -192.8
   5.71 0.011635 283.88 -463.8
   5.72 0.011641 284.02 -563.1
   5.74 0.011671 284.75 -366.1
   5.75 0.011626 283.66 -185.6
   5.76 0.011659 284.46  -88.4
   5.77 0.011611 283.30  -42.7
   5.78 0.011658 284.44  -19.8
   5.79 0.005024 122.54 -515.9
   5.80 0.000785  19.15 %-1252.8
   5.81 -.001289 -31.43 %-1999.1
   5.82 -.002263 -55.17 %-2643.0
   5.84 -.000717 -17.49 %-2978.5
   5.85 0.000851  20.74 %-3016.7
   5.86 0.001624  39.61 %-2844.1
   5.87 0.001944  47.41 %-2504.0
   5.88 0.002234  54.48 %-2009.6
   5.89 0.002145  52.32 %-1387.6
   5.90 0.002457  59.90 -612.9
   5.91 0.002263  55.17  279.2
   5.93 0.002532  61.76  720.1
   5.94 0.002289  55.82  791.8
   5.95 0.002453  59.81  666.6
   5.96 0.002271  55.37  386.5
   5.97 0.002475  60.36  199.2
   5.98 0.002293  55.91   95.7
   5.99 0.002297  56.02   42.8
   6.00 0.002340  57.06   12.8
   6.02 0.003983  97.13  130.0
   6.03 0.011038 269.31  757.6
   6.04 0.014138 345.02 1527.9
   6.05 0.015853 386.92 2249.3
   6.06 0.016412 400.57 2848.0
   6.07 0.017021 415.46 3277.2
   6.08 0.017020 415.45 3515.1
   6.09 0.017367 423.92 3559.2
   6.10 0.017200 419.85 3397.7
   6.12 0.017478 426.64 3034.9
   6.13 0.017257 421.24 2442.9
   6.14 0.017470 426.43 1661.7
   6.15 0.017239 420.80  800.3
   6.16 0.017470 426.43  412.9
   6.17 0.017364 423.84  209.3
   6.18 0.017754 433.38  146.8
   6.19 0.017571 428.92   94.5
   6.21 0.017707 432.24   91.9
   6.22 0.017474 426.53   61.6
   6.23 0.017570 428.87   63.9
   6.24 0.016709 407.84  -18.1
   6.25 0.009411 229.58 -630.2
   6.26 0.005829 142.17 %-1425.0
   6.27 0.004166 101.60 %-2168.4
   6.28 0.003264  79.60 %-2815.9
   6.30 0.002851  69.53 %-3278.5
   6.31 0.002676  65.25 %-3559.7
   6.32 0.002514  61.30 %-3612.1
   6.33 0.002545  62.06 %-3465.3
   6.34 0.002427  59.19 %-3104.9
   6.35 0.002554  62.28 %-2542.1
   6.36 0.002459  59.96 %-1769.0
   6.37 0.002577  62.85 -853.7
   6.39 0.002363  57.62 -421.4
   6.40 0.002528  61.66 -203.7
   6.41 0.002323  56.65 -106.7
   6.42 0.002590  63.17  -45.4
   6.43 0.002300  56.09  -34.6
   6.44 0.002634  64.24   -6.3
   6.45 0.002341  57.09  -14.7
   6.46 0.002671  65.13    7.6
   6.47 0.006673 162.75  325.2
   6.49 0.012630 308.17 1053.6
   6.50 0.014970 365.35 1812.7
   6.51 0.016533 403.53 2527.9
   6.52 0.016979 414.43 3062.6
   6.53 0.017279 421.78 3430.9
   6.54 0.017423 425.29 3585.1
   6.55 0.017279 421.77 3541.1
   6.56 0.017565 428.76 3287.2
   6.58 0.017299 422.27 2829.4
   6.59 0.017672 431.39 2168.5
   6.60 0.017376 424.14 1300.1
   6.61 0.017637 430.53  609.8
   6.62 0.017450 425.96  293.5
   6.63 0.017567 428.80  131.8
   6.64 0.017550 428.39   74.7
   6.65 0.017379 424.22   30.8
   6.67 0.017537 428.08   20.9
   6.68 0.017283 421.87    0.9
   6.69 0.017550 428.41   -9.7
   6.70 0.014153 345.39 -259.9
   6.71 0.008379 204.39 -931.1
   6.72 0.005119 124.85 %-1694.2
   6.73 0.004080  99.49 %-2388.6
   6.74 0.003137  76.51 %-2945.4
   6.75 0.002970  72.43 %-3329.2
   6.77 0.002691  65.63 %-3521.1
   6.78 0.002571  62.70 %-3515.5
   6.79 0.002579  62.90 %-3315.2
   6.80 0.002389  58.27 %-2907.9
   6.81 0.002603  63.48 %-2295.2
   6.82 0.002380  58.04 %-1469.8
   6.83 0.002793  68.11 -709.7
   6.84 0.002447  59.68 -342.7
   6.86 0.002871  70.01 -156.6
   6.87 0.002615  63.76  -53.3
   6.88 0.002728  66.52   -6.5
   6.89 0.002720  66.33   30.2
   6.90 0.002488  60.68   27.3
   6.91 0.002614  63.74   26.0
   6.92 0.002331  56.84    3.0
   6.93 0.008672 211.55  454.2
   6.95 0.013125 320.27 1179.8
   6.96 0.015480 377.81 1919.3
   6.97 0.016633 405.99 2601.9
   6.98 0.016842 411.09 3075.4
   6.99 0.017463 426.27 3433.8
   7.00 0.017392 424.52 3559.1
   7.01 0.017541 428.19 3499.3
   7.02 0.017538 428.09 3231.1
   7.04 0.017386 424.39 2722.8
   7.05 0.017692 431.86 2040.9
   7.06 0.017424 425.31 1101.5
   7.07 0.017793 434.32  555.9
   7.08 0.017589 429.34  272.1
   7.09 0.017604 429.71  141.3
   7.10 0.017612 429.90   86.4
   7.11 0.017421 425.24   22.1
   7.13 0.017695 431.95   27.5
