Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   4.04 0.003219  78.50 -115.8
   4.05 0.003164  77.16 -114.7
   4.06 0.003110  75.83 -113.7
   4.07 0.003055  74.51 -112.7
   4.08 0.003002  73.20 -111.8
   4.09 0.002949  71.92 -110.8
   4.10 0.002896  70.62 -109.9
   4.12 0.002845  69.37 -108.9
   4.13 0.002793  68.11 -108.0
   4.14 0.002742  66.86 -107.1
   4.15 0.002691  65.63 -106.0
   4.16 0.002641  64.40 -105.1
   4.17 0.002591  63.19 -104.1
   4.18 0.002542  61.99 -103.2
   4.20 0.002494  60.82 -102.1
   4.21 0.002446  59.65 -101.1
   4.22 0.002398  58.48 -100.1
   4.23 0.002352  57.35  -99.1
   4.24 0.002305  56.21  -98.0
   4.25 0.002259  55.08  -97.0
   4.26 0.002212  53.94  -96.1
   4.27 0.002167  52.83  -95.2
   4.29 0.002122  51.75  -94.3
   4.30 0.002077  50.65  -93.4
   4.31 0.002033  49.57  -92.6
   4.32 0.001989  48.50  -91.8
   4.33 0.001945  47.43  -91.1
   4.34 0.001901  46.36  -90.3
   4.35 0.001858  45.31  -89.7
   4.36 0.001815  44.26  -89.0
   4.37 0.001773  43.23  -88.2
   4.39 0.001730  42.19  -87.6
   4.40 0.001688  41.16  -87.0
   4.41 0.001647  40.15  -86.5
   4.42 0.001606  39.17  -85.8
   4.43 0.001565  38.17  -85.1
   4.44 0.001525  37.20  -84.3
   4.45 0.001485  36.21  -83.6
   4.47 0.001445  35.25  -82.8
   4.48 0.001406  34.29  -82.1
   4.49 0.001368  33.35  -81.3
   4.50 0.001330  32.42  -80.5
   4.51 0.001291  31.49  -79.7
   4.52 0.001253  30.56  -79.0
   4.53 0.001216  29.66  -78.3
   4.54 0.001179  28.75  -77.6
   4.55 0.001143  27.86  -76.8
   4.57 0.001106  26.98  -76.1
   4.58 0.001070  26.09  -75.4
   4.59 0.001035  25.23  -74.7
   4.60 0.000999  24.36  -74.0
   4.61 0.000964  23.51  -73.4
   4.62 0.000929  22.65  -72.8
   4.63 0.000895  21.82  -72.1
   4.64 0.000861  20.99  -71.4
   4.66 0.000826  20.14  -70.9
   4.67 0.000793  19.33  -70.2
   4.68 0.000760  18.53  -69.6
   4.69 0.000726  17.71  -69.1
   4.70 0.000694  16.91  -68.5
   4.71 0.000661  16.11  -67.9
   4.72 0.000629  15.34  -67.3
   4.74 0.000597  14.55  -66.7
   4.75 0.000565  13.78  -66.2
   4.76 0.000534  13.02  -65.6
   4.77 0.000503  12.25  -65.0
   4.78 0.000472  11.50  -64.5
   4.79 0.000441  10.76  -63.9
   4.80 0.000411  10.02  -63.4
   4.81 0.000380   9.27  -62.8
   4.83 0.000351   8.55  -62.3
   4.84 0.000321   7.82  -61.8
   4.85 0.000292   7.11  -61.3
   4.86 0.000262   6.39  -60.8
   4.87 0.000233   5.68  -60.3
   4.88 0.000204   4.97  -59.9
   4.89 0.000175   4.28  -59.5
   4.90 0.000147   3.59  -59.0
