Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   3.11 0.003603  87.87   66.7
   3.13 0.003634  88.63   65.4
   3.14 0.003665  89.38   64.3
   3.15 0.003695  90.10   63.3
   3.16 0.003722  90.77   62.3
   3.17 0.003749  91.43   61.3
   3.18 0.003776  92.09   60.3
   3.19 0.003804  92.76   59.3
   3.20 0.003830  93.40   58.2
   3.21 0.003857  94.05   57.2
   3.23 0.003882  94.67   56.2
   3.24 0.003904  95.20   54.7
   3.25 0.003928  95.81   53.4
   3.26 0.003952  96.38   52.2
   3.27 0.003973  96.90   51.0
   3.28 0.003997  97.47   49.9
   3.29 0.004021  98.06   49.0
   3.31 0.004042  98.58   48.0
   3.32 0.004063  99.10   47.0
   3.33 0.004087  99.67   46.3
   3.34 0.004110 100.24   45.8
   3.35 0.004132 100.78   45.6
   3.36 0.004154 101.30   45.4
   3.37 0.004174 101.81   44.9
   3.38 0.004194 102.29   44.5
   3.40 0.004212 102.73   43.8
   3.41 0.004231 103.18   42.9
   3.42 0.004250 103.64   42.0
   3.43 0.004270 104.13   41.3
   3.44 0.004290 104.61   40.5
   3.45 0.004309 105.08   39.7
   3.46 0.004326 105.50   38.9
   3.47 0.004344 105.94   38.3
   3.49 0.004360 106.34   37.8
   3.50 0.004375 106.71   37.1
   3.51 0.004392 107.11   36.4
   3.52 0.004409 107.54   35.9
   3.53 0.004426 107.95   35.3
   3.54 0.004442 108.33   34.6
   3.55 0.004456 108.67   33.7
   3.56 0.004469 108.98   32.8
   3.58 0.004483 109.33   31.9
   3.59 0.004497 109.67   31.1
   3.60 0.004511 110.03   30.5
   3.61 0.004525 110.36   29.9
   3.62 0.004538 110.68   29.3
   3.63 0.004553 111.05   28.7
   3.64 0.004567 111.39   28.3
   3.65 0.004581 111.73   28.0
   3.67 0.004595 112.07   27.9
   3.68 0.004607 112.37   27.9
   3.69 0.004618 112.63   27.6
   3.70 0.004630 112.93   27.2
   3.71 0.004642 113.21   26.6
   3.72 0.004653 113.49   26.0
   3.73 0.004663 113.72   25.2
   3.74 0.004674 113.98   24.5
   3.76 0.004685 114.26   23.7
   3.77 0.004697 114.54   23.1
   3.78 0.004708 114.82   22.6
   3.79 0.004717 115.03   22.2
   3.80 0.004727 115.28   21.9
   3.81 0.004732 115.41   21.2
   3.82 0.004741 115.63   20.5
   3.83 0.004751 115.87   19.9
   3.84 0.004761 116.12   19.5
   3.86 0.004773 116.40   19.3
   3.87 0.004783 116.64   19.1
   3.88 0.004794 116.91   19.0
   3.89 0.004802 117.11   19.0
   3.90 0.004809 117.28   18.9
   3.91 0.004818 117.51   18.9
   3.92 0.004827 117.73   19.0
   3.94 0.004837 117.97   19.2
   3.95 0.004845 118.17   18.9
   3.96 0.004851 118.31   18.3
   3.97 0.004858 118.49   17.6
   3.98 0.004865 118.66   16.9
   3.99 0.004873 118.86   16.4
   4.00 0.004880 119.01   15.9
   4.01 0.004888 119.22   15.6
   4.03 0.004897 119.44   15.5
   4.04 0.004903 119.58   15.2
   4.05 0.004909 119.72   14.8
   4.06 0.004916 119.90   14.5
   4.07 0.004925 120.12   14.6
   4.08 0.004931 120.26   14.6
   4.09 0.004935 120.37   14.3
   4.10 0.004943 120.56   14.1
   4.12 0.004949 120.71   13.8
   4.13 0.004956 120.88   13.6
   4.14 0.004960 120.98   13.2
   4.15 0.004967 121.14   12.9
   4.16 0.004972 121.25   12.6
   4.17 0.004978 121.41   12.4
   4.18 0.004986 121.60   12.2
   4.19 0.004993 121.77   12.2
