Datos generados por TERE.BAS el 06-14-2007
 t[min] T[§C] V[§C/min]
   3.31 0.006192 151.03    5.4
   3.32 0.006188 150.93    3.9
   3.33 0.006186 150.89    2.6
   3.34 0.006184 150.84    1.1
   3.36 0.006188 150.92    0.0
   3.37 0.006188 150.92   -0.7
   3.38 0.006189 150.95   -1.0
   3.39 0.006197 151.14   -0.4
   3.40 0.006198 151.17    0.3
   3.41 0.006199 151.19    1.1
   3.42 0.006200 151.22    1.9
   3.44 0.006201 151.25    2.7
   3.45 0.006210 151.46    4.1
   3.46 0.006213 151.53    5.0
   3.47 0.006212 151.51    5.3
   3.48 0.006212 151.51    5.1
   3.49 0.006217 151.63    5.2
   3.50 0.006214 151.56    4.6
   3.51 0.006208 151.42    3.4
   3.53 0.006216 151.60    3.2
   3.54 0.006215 151.58    2.8
   3.55 0.006211 151.49    1.9
   3.56 0.006211 151.48    0.9
   3.57 0.006215 151.59    0.3
   3.58 0.006213 151.54    0.0
   3.59 0.006202 151.26   -0.9
   3.60 0.006202 151.26   -1.7
   3.62 0.006197 151.15   -2.7
   3.63 0.006200 151.21   -2.9
   3.64 0.006209 151.45   -2.3
   3.65 0.006217 151.65   -1.6
   3.66 0.006223 151.78    0.1
   3.67 0.006223 151.79    1.6
   3.68 0.006220 151.71    2.5
   3.69 0.006214 151.57    2.7
   3.71 0.006211 151.49    3.0
   3.72 0.006206 151.37    2.8
   3.73 0.006209 151.45    2.0
   3.74 0.006220 151.71    1.8
   3.75 0.006222 151.75    1.1
   3.76 0.006224 151.79    0.4
   3.77 0.006223 151.78    0.2
   3.78 0.006213 151.53   -0.2
   3.80 0.006219 151.70    0.5
   3.81 0.006222 151.76    1.4
   3.82 0.006222 151.76    2.1
   3.83 0.006224 151.82    2.5
   3.84 0.006229 151.92    2.6
   3.85 0.006231 151.97    2.3
   3.86 0.006231 151.98    1.9
   3.87 0.006228 151.89    2.0
   3.89 0.006226 151.85    1.9
   3.90 0.006224 151.82    1.9
   3.91 0.006220 151.71    1.4
   3.92 0.006217 151.64   -0.1
   3.93 0.006217 151.65   -1.1
   3.94 0.006219 151.69   -1.7
   3.95 0.006223 151.78   -2.0
   3.96 0.006224 151.80   -2.0
   3.98 0.006217 151.65   -2.1
   3.99 0.006216 151.62   -1.9
   4.00 0.006213 151.54   -1.8
   4.01 0.006211 151.49   -1.9
   4.02 0.006207 151.38   -2.2
   4.03 0.006178 150.68   -4.6
   4.04 0.006172 150.55   -7.2
